NAME,Year,ID_RSSD,Total Exposures,Intra-Financial System Assets,Intra-Financial System Liabilities,Securities Outstanding,Payments,Assets Under Custody,Underwriting,OTC Derivatives,Trading and AFS Securities,Level 3 Assets,Cross-Jurisdictional Claims,Cross-Jurisdictional Liabilities
BANCWEST CORPORATION                                                                                                    ,2013,1025608,102647429,889007,7834827,11550342,443211741,2774232,0,15779840,1220223,86228,504000,649713
ZIONS BANCORPORATION                                                                                                    ,2013,1027004,75164968,2607120,2500617,10865666,437011292,2848606,231550,3048640,2522819,1387287,86000,1954228
DEUTSCHE BANK TRUST CORPORATION                                                                                         ,2013,1032473,63609000,19744000,25846000,11819000,58495158000,0,0,14406000,52000,131000,3983000,49000
M&T BANK CORPORATION                                                                                                    ,2013,1037003,104645236,2069734,4983271,21928216,1594474130,100836317,25845374,21408258,587514,72549,272875,30274
JPMORGAN CHASE & CO.                                                                                                    ,2013,1039502,3569551800,421963000,544258000,598997000,3.21E+11,21320085000,507734000,68003662000,446323000,69310000,692557000,673734000
KEYCORP                                                                                                                 ,2013,1068025,134368815,6166322,724429,26156038,983712092,82230813,5378568,61561347,1643516,2764842,2218000,27000
HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,2013,1068191,64612414,1550416,313497,15666103,302706092,79935242,941584,7580239,2909136,883774,834000,0
"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",2013,1069778,425387038,17703000,13135000,67592500,2004252000,161000000,10044000,251979000,25920729,10635103,4895000,1989000
FIFTH THIRD BANCORP                                                                                                     ,2013,1070345,174422686,4097911,8942647,37550497,1186752164,240024096,5427541,63886559,6808392,488519,4407000,562000
BANK OF AMERICA CORPORATION                                                                                             ,2013,1073757,2695636963,293938659,219926538,488785261,83704983990,136190000,390267400,54887232052,203137926,31779000,387493000,245722000
BB&T CORPORATION                                                                                                        ,2013,1074156,212387101,1470983,10316636,68851721,972398497,34913368,5511033,59275901,4024306,2201678,634000,1409000
"BBVA COMPASS BANCSHARES, INC.                                                                                           ",2013,1078529,100957343,3574690,2381339,12790829,198758140,3069315,79954814,18058780,1088734,32663,860000,1864000
STATE STREET CORPORATION                                                                                                ,2013,1111435,345428170,30393031,209263087,42822162,59122189977,20411068000,0,1141088650,53759419,7563618,47446989,124911000
U.S. BANCORP                                                                                                            ,2013,1119794,524636200,11460000,21887000,138882000,6918228000,959466000,17199000,106000000,12961000,4042000,3297000,33759000
WELLS FARGO & COMPANY                                                                                                   ,2013,1120754,1961304700,110263000,128896000,507718000,28761213000,2400000000,85947000,4879596000,127761000,37171000,70104000,130239000
"SUNTRUST BANKS, INC.                                                                                                    ",2013,1131787,229448402,3490975,1307524,49991783,643952046,64437735,11251064,182526575,14987093,2629843,1643000,2002234
"RBS CITIZENS FINANCIAL GROUP, INC.                                                                                      ",2013,1132449,146082291,3777723,3609774,1350000,2816151155,6723995,0,43162955,869364,735,1689000,954000
NORTHERN TRUST CORPORATION                                                                                              ,2013,1199611,142399203,43593978,12215420,16241617,32997307763,5575700000,0,254851428,11761216,98930,28277000,51357603
COMERICA INCORPORATED                                                                                                   ,2013,1199844,98084049,8430610,4241765,17245465,245756383,53084403,1484000,20538469,1682347,161518,1790000,1759000
BMO FINANCIAL CORP.                                                                                                     ,2013,1245415,162934993,15723663,957768,25682190,5244697795,257113000,8304437,21976500,10560869,78116,6756000,5772000
TD BANK US HOLDING COMPANY                                                                                              ,2013,1249196,276806643,14569418,5124830,8343534,2392518835,9655029,0,151227643,17761485,1776915,35402000,1244000
AMERICAN EXPRESS COMPANY                                                                                                ,2013,1275216,177271700,7155000,36921000,161518000,143718000,0,0,42224000,4401000,0,29504000,19906000
UNIONBANCAL CORPORATION                                                                                                 ,2013,1378434,146461571,9834218,5857953,19747054,1058278541,119954708,0,64308843,8144298,2289132,2201000,2618361
ALLY FINANCIAL INC.                                                                                                     ,2013,1562859,152516000,6098000,16534000,108149000,290017000,0,0,61542000,9027000,205000,2236000,1932000
CITIGROUP INC.                                                                                                          ,2013,1951350,2894627600,420904000,512523000,595500000,3.01E+11,11095924000,331012000,59472006000,130113000,45685000,838644000,742475000
MORGAN STANLEY                                                                                                          ,2013,2162966,1282726862,535021798,182491089,231405818,9811965074,1369185923,261804800,43610512376,316368655,23281000,353380000,470008000
CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2013,2277860,336207913,14186642,2466871,94444311,913806352,2723565,1850634,63418291,16185755,3649231,9495000,1882420
"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2013,2380443,1517513700,336644000,106942000,310141000,9584773000,865755000,371000000,50355240000,138305000,43003000,346666000,319418000
HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,2013,3232316,405781917,35711365,54924874,50430948,1061322343,42774610,48735223,5193826410,39638238,4205968,43465000,897963
REGIONS FINANCIAL CORPORATION                                                                                           ,2013,3242838,145969288,1253874,6692841,27270646,754883180,22040423,44635403,74346037,5061298,313268,1058000,460000
"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",2013,3587146,409666200,79313000,229805000,61106000,1.66E+11,23590412000,5840000,1157850000,38944000,139000,86775000,164125000
DISCOVER FINANCIAL SERVICES                                                                                             ,2013,3846375,95633012,6860945,295985,74146000,321092913,0,0,11631070,559482,4098,192000,21000
"SANTANDER HOLDINGS USA, INC.                                                                                            ",2013,3981856,98283410,3861761,401818,11631170,24074151,0,0,17537179,11600007,195288,3824906,1210379
